Year,revenue passengers
1960,282228000
1961,267582600
1962,268804600
1963,271103300
1964,275291005
1965,288038489
1966,307148930
1967,314413486
1968,323481655
1969,322193404
1970,323616632
1971,330495450
1972,345994178
1973,329027000
1974,329796000
1975,357539000
1976,350600000
1977,348700000
1978,337600000
1979,346200000
1980,366400000
1981,392000000
1982,401200000
1983,405700000
1984,427700000
1985,432200000
1986,441000000
1987,456900000
1988,463500000
1989,450700000
1990,459200000
1991,424200000
1992,404300000
1993,393500000
1994,388300000
1995,388200000
1996,372400000
1997,379900000
1998,388689000
1999,392593000
2000,410558000
2001,419993000
2002,415539000
2003,405412000
2004,418099000
2005,431220000
2006,444544000
2007,459769000
2008,466700000
2009,471233000
2010,477357000
2011,500219000
2012,514007000
2013,525194000
2014,534815000
2015,537595000
2016,538079000
2017,533216000
2018,521400000
