year,cash,token,daypass,monthly,average,cpi
1973,0.30,0.25,,,,24.0
1974,0.30,0.25,,,,26.6
1975,0.40,0.25,,,,29.5
1976,0.50,0.33,,,,31.3
1977,0.50,0.33,,,,33.9
1978,0.55,0.40,,,,37.2
1979,0.60,0.43,,,,40.3
1980,0.60,0.43,,26.00,,44.7
1981,0.65,0.50,,29.75,,50.3
1982,0.75,0.57,,32.50,,55.6
1983,0.85,0.63,,34.75,,58.7
1984,0.90,0.67,,36.50,,60.8
1985,0.95,0.70,,38.50,,63.3
1986,1.00,0.74,,41.50,,66.0
1987,1.00,0.80,,43.50,,69.0
1988,1.05,0.83,,46.00,,71.7
1989,1.10,0.88,,49.00,,75.5
1990,1.20,1.00,5.00,53.00,,78.6
1991,1.30,1.07,5.00,56.50,,83.3
1992,2.00,1.30,5.00,67.00,,84.2
1993,2.00,1.30,5.00,67.00,,85.7
1994,2.00,1.30,5.00,67.00,,85.8
1995,2.00,1.50,6.00,78.00,,87.7
1996,2.00,1.60,6.50,83.00,,89.0
1997,2.00,1.60,6.50,88.50,,90.6
1998,2.00,1.60,6.50,88.50,1.39,91.4
1999,2.00,1.70,7.00,88.50,1.42,93.3
2000,2.00,1.70,7.00,88.50,1.46,95.7
2001,2.25,1.80,7.50,93.50,1.52,98.4
2002,2.25,1.80,7.50,93.50,1.55,100.9
2003,2.25,1.90,7.75,98.75,1.62,102.9
2004,2.25,1.90,7.75,98.75,1.63,104.8
2005,2.50,2.00,8.00,98.75,1.65,107.5
2006,2.75,2.10,8.50,99.75,1.66,109.8
2007,2.75,2.25,9.00,109.00,1.68,111.7
2008,2.75,2.25,9.00,109.00,1.79,115.6
2009,2.75,2.25,9.00,109.00,1.77,114.7
2010,3.00,2.50,10.00,121.00,1.95,116.7
2011,3.00,2.50,10.00,121.00,1.94,120.3
2012,3.00,2.60,10.50,126.00,1.98,121.8
2013,3.00,2.65,10.75,128.50,2.00,123.1
2014,3.00,2.70,11.00,133.75,2.03,125.7
2015,3.00,2.80,11.50,141.50,2.06,127.3
2016,3.25,2.90,12.00,146.25,2.09,128.7
2017,3.25,3.00,12.50,146.25,2.18,130.5
2018,3.25,3.00,12.50,146.25,,134.2
2019,3.25,3.10,13.00,151.15,,136.8
