attr,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
vehicles,2395,2419,2416,2448,2436,2441,2434,2448,2496,2496,2695,2866,2766,2826,2974,2900,2873,2844,3089,3466
operators,3804,3771,3846,3955,4141,4138,4183,4180,4284,4440,4758,5163,5097,5121,5278,5441,5613,5785,5911,5932
passengers,388689000,392593000,410558000,419993000,415539000,405412000,418099000,431220000,444544000,459769000,466700000,471233000,477357000,500219000,514007000,525194000,534815000,537595000,538079000,533216000
avg_fare,1.39,1.42,1.46,1.52,1.55,1.62,1.63,1.65,1.66,1.68,1.79,1.77,1.95,1.94,1.98,2,2.03,2.06,2.09,2.18
rr,0.81,0.84,0.85,0.84,0.81,0.78,0.79,0.79,0.75,0.73,0.74,0.67,0.71,0.7,0.75,0.76,0.73,0.7,0.7,0.73
ops_expense,677587256,681998223,721408718,772959406,822302449,871589993,901149495,930838763,1013684058,1093167891,1172811748,1286957165,1356325727,1419892261,1421456469,1439786267,1539882747,1637966363,1659757328,1647732590
ops_rev,550203733,569753207,614094491,652988894,669516397,683027942,710075977,732391259,760779700,801600523,866651342,859511656,960833027,999737086,1060641960,1094535465,1130045500,1151153173,1169101541,1208662097
muni_ops_fund,148279000,148888000,144324000,147606397,152162000,182162100,114191933,143952826,170787214,210795000,147810000,353781000,309744873,345415000,296987605,283486026,343979086,421987395,428368936,374918886
prov_ops_fund,0,0,0,0,0,0,90312724,90955174,91600000,91600000,171832000,91600000,91600000,91600000,91600000,91600000,91600000,91600000,91600000,91600000
oth_ops_fund,0,0,0,0,24563000,16880927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpi,91.4,93.3,95.7,98.4,100.9,102.9,104.8,107.5,109.8,111.7,115.6,114.7,116.7,120.3,121.8,123.1,125.7,127.3,128.7,130.5
